偬	zuŋ1
偬	zuŋ2
傀	gui-
傀	kui1
傅	fu2
傍	paŋ+
傍	beŋ-
傍	paŋ2
傑	gie3
傒	xi+
傖	žeŋ-
傖	caŋ-
備	bei2
備	bi2
傜	iau+
傄	xua3
傁	seu-
傁	seu1
傃	su2
傉	ru3
傋	giaŋ1
傋	geu-
傎	dian-
傔	kian2
傕	gio3
傚	xiau2
傞	so-
傌	ma2
	žeu2
	zu-
	na2
傝	tan2
傝	ta3
傗	ču3
傛	yŋ+
傛	yŋ1
傏	taŋ+
傂	ž2
傂	č+
傂	s-
傘	san1
傢	gia-
催	cui-
傭	yŋ+
傭	cuŋ-
傲	ŋau2
傳	čuan+
傳	žuan2
傴	y1
債	žai2
債	zə3
傷	šaŋ-
傷	šaŋ2
傺	č2
傾	kiŋ-
傾	kiŋ1
僂	leu+
僂	leu2
僂	ly1
僅	gin2
僉	can-
僊	san-
偋	piŋ+
偋	biŋ1
傶	zu3
㑻	ma3
傻	ša1
傽	žaŋ-
僁	se3
僁	si3
僄	piau-
僄	piau2
僆	lian2
僆	lian1
僇	lu3
僇	liu2
傯	žuŋ1
㑿	čau+
㑿	žau2
傱	suŋ1
傰	peŋ+
傰	beŋ2
傿	ian2
傿	ian+
傪	can-
傪	can1
働	duŋ2
僎	žun-
僎	žuan2
像	saŋ2
僑	kiau+
僕	pu3
僚	liau+
僚	liau1
僝	čan2
僝	žan1
僝	žan2
僝	žuan2
僞	ui2
僭	zan2
僦	zu2
僧	seŋ-
僨	fen2
僩	xian1
僮	tuŋ+
㒉	taŋ1
僒	gyn1
僥	giau1
僥	iau+
僖	xi-
僛	ki-
僢	čuan2
僢	čuan1
僢	čun1
僤	dan2
僤	šan+
僤	čan1
僬	zau-
僬	zau2
僬	zau1
僰	bə3
僓	tui+
僓	tui1
僓	tui2
㒄	ran1
僔	zun1
僪	y3
僜	deŋ2
僜	čeŋ-
㒆	xi3
僣	tie3
僵	giaŋ-
價	gia2
僻	pi3
僻	pi2
僿	sai2
僿	š2
儀	i+
儂	nuŋ+
億	i3
儆	giŋ2
儆	giŋ1
儇	xyan-
儈	kuai2
儉	gian2
僸	gin2
僸	in1
僽	žeu2
僽	zeu-
僾	ai2
儋	dan-
儁	zyn2
儌	giau-
儌	giau1
儃	šan+
儃	tan1
儃	dan2
儃	tan2
㒎	sa3
僷	ča3
儍	ša1
儐	bin2
儐	bin-
儒	ru+
儔	čeu+
儔	dau2
儕	čai+
儘	zn1
儜	ŋiŋ+
儜	nin+
儓	tai+
儓	tai2
儗	ŋi1
儗	ŋai2
儗	i2
儛	u1
儚	muŋ+
儚	muŋ2
㒊	šə3
儑	ŋan2
儑	ŋo3
㒚	in2
㒚	uen1
償	čaŋ+
償	čaŋ2
儡	lui1
儡	lui+
儦	biau-
優	iu-
儢	ly1
儥	y3
儥	du3
儠	lie3
儤	ban2
儲	ču+
㒟	ŋiau1
儭	čen2
儭	cn-
儱	luŋ+
儱	luŋ1
儱	luŋ2
㒠	xiai2
儳	čan+
儳	čan2
儴	raŋ+
儵	šu3
㒤	če3
儷	li2
儷	li+
儺	no+
儺	no1
儸	lo+
儻	taŋ1
儻	taŋ2
儼	ian1
儿	ren+
兀	u3
允	yn1
允	yan+
元	yan+
兄	xyŋ-
充	čuŋ-
兆	žau2
兇	xyŋ-
兇	xyŋ1
先	san-
先	san2
光	guaŋ-
光	guaŋ2
克	kə3
兌	dui3
兌	ye3
免	mian1
免	uen2
兒	er+
兒	ŋi+
兔	tu2
兕	s2
兓	zn-
兗	zan2
兙	š3
党	daŋ1
兛	can-
兜	deu-
兝	fen-
兞	xau+
兟	šen-
兡	bə3
兢	giŋ-
兣	li+
入	ru3
內	nui2
內	na3
全	cyan+
兩	liaŋ1
兪	y+
兪	čeu2
兪	šu2
八	ba3
公	guŋ-
六	lu3
兮	xi+
共	guŋ2
共	guŋ-
兵	biŋ-
其	ki+
其	gi-
具	gy2
典	dian1
兼	gian-
兼	gian2
冀	gi2
冂	gyŋ-
冂	ŋian1
冃	mau2
冃	mau1
冃	meu2
冉	ran1
冉	ran+
冋	gyŋ-
冋	xyŋ2
冊	cə3
再	zai2
冎	gua1
冏	gyŋ-
冑	žeu2
冒	mau2
冒	mə3
冓	geu-
冓	geu2
冔	xy-
冔	xy1
冕	mian1
㒾	i2
㒾	š2
㒿	li+
冖	mi3
冘	iu+
冘	in+
冞	mi+
冠	guan-
冠	guan2
冢	žuŋ1
冤	yan-
冥	miŋ+
冥	mi3
冡	muŋ+
冣	zy2
冪	mi3
冫	biŋ-
冬	duŋ-
冰	biŋ-
冱	xu2
冲	čuŋ-
冲	čuŋ+
决	gye3
决	xye3
冶	ie1
冷	leŋ1
冷	liŋ1
冷	liŋ+
冸	pan2
冹	fu3
冹	fa3
冽	lie3
冽	li2
冼	šeŋ1
凋	diau-
凌	liŋ+
凌	liŋ2
凍	duŋ2
凍	duŋ-
凉	liaŋ+
凉	liaŋ2
凄	ci-
准	žun1
凇	suŋ-
凇	suŋ2
凊	cŋ-
凈	čeŋ-
凈	giŋ2
凅	gu2
㓑	xiŋ2
馮	piŋ+
凓	li3
凔	caŋ-
凔	čuaŋ-
凒	i+
㓖	bi3
凘	s-
凘	s2
凜	lin1
凙	duo3
凙	žə3
凚	gin2
凚	in1
凝	ŋiŋ+
凝	ŋiŋ2
几	gi1
几	gi-
凡	fan+
凭	piŋ+
凭	piŋ2
凰	xuaŋ+
凱	kai1
凳	deŋ2
凵	kian1
凵	kan-
凶	xyŋ-
凷	kuai2
凸	tu3
凸	die3
凹	iau-
凹	au-
凹	ia3
出	ču3
出	čui2
函	xan+
函	xian+
刀	dau-
刁	diau-
刃	ren2
分	fen-
分	fen2
切	ce3
切	ci2
刈	i2
刋	kan-
刌	cun1
刉	gi2
㓚	guŋ-
刎	uen1
刏	gi-
刏	gi2
刑	xiŋ+
划	xua+
划	guo1
刓	uan+
刖	ye3
刖	u3
列	lie3
初	ču-
删	šan-
判	pan2
別	bie3
利	li2
刜	fu3
刨	pau+
刨	bau2
刦	gie3
刧	gie3
刮	gua3
到	dau2
剏	čuaŋ2
刲	kui-
刲	gui2
刳	ku-
刵	er2
制	ž2
刷	šua3
刹	ča3
刺	c2
刺	ci3
刻	kə3
刴	duo2
㓤	kia3
券	kyan2
則	zə3
削	so3
剋	kə3
剌	la3
前	can+
剃	ti2
剄	giŋ-
